Country,Country code,Elderly_pop
St. Lucia,LCA,10.2958715221618
Latin America & Caribbean,LCN,8.96861565774603
Least developed countries: UN classification,LDC,3.59013098880769
Low income,LIC,3.26641016910504
Liechtenstein,LIE,
Sri Lanka,LKA,11.2328586848264
Lower middle income,LMC,5.81595858307337
Low & middle income,LMY,7.58927316948557
Lesotho,LSO,4.94881780782719
Late-demographic dividend,LTE,11.6204470021818
Lithuania,LTU,20.6179799426145
Luxembourg,LUX,14.3907613366604
Latvia,LVA,20.6873827668145
"Macao SAR, China",MAC,11.9714785126322
St. Martin (French part),MAF,
Morocco,MAR,7.60664427741004
Monaco,MCO,
Moldova,MDA,12.4930248492611
Madagascar,MDG,3.10069496181036
Maldives,MDV,3.59341700213119
Middle East & North Africa,MEA,5.44100122273626
Mexico,MEX,7.61810383432982
Marshall Islands,MHL,
Middle income,MIC,8.08069063449416
North Macedonia,MKD,14.4772854033889
Mali,MLI,2.47715242133496
Malta,MLT,21.3238574725451
Myanmar,MMR,6.23608798414991
Middle East & North Africa (excluding high income),MNA,5.63565150519812
Montenegro,MNE,15.769521037598
Mongolia,MNG,4.31230916117854
Northern Mariana Islands,MNP,
Mozambique,MOZ,2.86182547131403
Mauritania,MRT,3.17786813567794
Mauritius,MUS,12.520129457574
Malawi,MWI,2.64154348113367
Malaysia,MYS,7.18368371697719
North America,NAC,16.7833063920433
Namibia,NAM,3.58584834930861
New Caledonia,NCL,9.69814149311028
Niger,NER,2.59609303958037
Nigeria,NGA,2.73806406007727
Nicaragua,NIC,5.67749919466276
Netherlands,NLD,20.0348213864685
Norway,NOR,17.5265774017425
Nepal,NPL,5.82814699537437
Nauru,NRU,
New Zealand,NZL,16.368309038572
OECD members,OED,17.3975334610857
Oman,OMN,2.51101216341279
Other small states,OSS,5.66365074529143
Pakistan,PAK,4.34864966345144
Panama,PAN,8.53879247709088
Peru,PER,8.72526306831275
Philippines,PHL,5.51164864430335
Palau,PLW,
Papua New Guinea,PNG,3.57157866123976
Poland,POL,18.739450673668
Pre-demographic dividend,PRE,2.78174111917696
Puerto Rico,PRI,20.827354638634
"Korea, Dem. People's Rep.",PRK,9.3486915768358
Portugal,PRT,22.7722689742347
Paraguay,PRY,6.81098369192004
West Bank and Gaza,PSE,3.2159907037539
Pacific island small states,PSS,4.72933006565988
Post-demographic dividend,PST,19.6443011692517
French Polynesia,PYF,9.06844945676164
Qatar,QAT,1.68913935286855
Romania,ROU,19.23091497831
Russian Federation,RUS,15.5089282475307
Rwanda,RWA,3.11930358182668
South Asia,SAS,6.14971151779029
Saudi Arabia,SAU,3.4984589906707
Sudan,SDN,3.67412129645974
Senegal,SEN,3.10814780785893
Singapore,SGP,13.351544234508
Solomon Islands,SLB,3.67092551289592
Sierra Leone,SLE,2.92733480815993
El Salvador,SLV,8.65094458161591
San Marino,SMR,
Somalia,SOM,2.90213652083888
Serbia,SRB,19.0585016934728
Sub-Saharan Africa (excluding high income),SSA,3.02074436950948
South Sudan,SSD,3.3527713071386
Sub-Saharan Africa,SSF,3.02118167465177
Small states,SST,6.23549729775198
Sao Tome and Principe,STP,3.00831816169995
Suriname,SUR,7.13496706623573
Slovak Republic,SVK,16.6991352180235
Slovenia,SVN,20.7377516789822
Sweden,SWE,20.3288061061869
Eswatini,SWZ,4.01236376926021
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,8.06633654305673
Syrian Arab Republic,SYR,4.87442243600212
Turks and Caicos Islands,TCA,
Chad,TCD,2.49857785258663
East Asia & Pacific (IDA & IBRD countries),TEA,10.3551016570921
Europe & Central Asia (IDA & IBRD countries),TEC,13.1837458971155
Togo,TGO,2.90502497727911
Thailand,THA,12.957737608456
Tajikistan,TJK,3.17975768651486
Turkmenistan,TKM,4.7680229473405
Latin America & the Caribbean (IDA & IBRD countries),TLA,8.77811311991819
Timor-Leste,TLS,4.28307589622624
Middle East & North Africa (IDA & IBRD countries),TMN,5.66534983881573
Tonga,TON,5.91986375892899
South Asia (IDA & IBRD),TSA,6.14971151779029
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.02118167465177
Trinidad and Tobago,TTO,11.5146396396396
Tunisia,TUN,8.87294869222876
Turkey,TUR,8.98106567861368
Tuvalu,TUV,
Tanzania,TZA,2.64358863792274
Uganda,UGA,1.9856996152271
Ukraine,UKR,16.9491433186105
Upper middle income,UMC,11.0733900607389
Uruguay,URY,15.0876723291678
United States,USA,16.6309257142475
Uzbekistan,UZB,4.78885619116774
St. Vincent and the Grenadines,VCT,9.90986118622679
"Venezuela, RB",VEN,7.97269933752849
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,20.4960497965047
Vietnam,VNM,7.86601168689755
Vanuatu,VUT,3.60871900893715
World,WLD,9.32080944627242
Samoa,WSM,5.08381465017589
Kosovo,XKX,
"Yemen, Rep.",YEM,2.93098321985502
South Africa,ZAF,5.50943883602892
Zambia,ZMB,2.1320221900021
Zimbabwe,ZWE,3.01417809846838
